[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 1 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 2 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 3 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 4 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 5 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 5 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 5 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 5 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 5 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 6 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 6 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 6 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 6 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8] Undefined offset: 6 CourseAction.class.php 第 17 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | INFO: Tag[ view_template ] --START--
[ 2016-10-07T19:43:05+08:00 ] /oa.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000243s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000299s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | INFO: Tag[ view_parse ] --START--
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
