[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | SQL: SELECT SUM(don_num) AS tp_sum FROM `march_prize_don` WHERE don_name="xiaosang1" LIMIT 1   [ RunTime:0.000029s ]
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | SQL: SELECT * FROM `march_prize_don` LIMIT 6   [ RunTime:0.000031s ]
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | SQL: SHOW COLUMNS FROM `march_prize` [ RunTime:0.000275s ]
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | SQL: SELECT * FROM `march_prize` WHERE prize_num = 1 LIMIT 2   [ RunTime:0.000034s ]
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | SQL: SELECT * FROM `march_prize` WHERE prize_num = 0 LIMIT 3   [ RunTime:0.000030s ]
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | INFO: Tag[ view_template ] --START--
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000041s ]
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000057s ]
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T14:41:11+08:00 ] /index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
